CheckRTSPUrls | 2019-07-17 18:45:31.663 | INFO    | 
CheckRTSPUrls | 2019-07-17 18:46:01.718 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.130:554/A10100016) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.719 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10100029
CheckRTSPUrls | 2019-07-17 18:46:01.719 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.130:554/A10100019
CheckRTSPUrls | 2019-07-17 18:46:01.719 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10100029) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.719 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.130:554/A10100019) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.720 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10100030
CheckRTSPUrls | 2019-07-17 18:46:01.720 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10100030) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.721 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10100036
CheckRTSPUrls | 2019-07-17 18:46:01.721 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10100036) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.721 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100056
CheckRTSPUrls | 2019-07-17 18:46:01.721 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10100042
CheckRTSPUrls | 2019-07-17 18:46:01.722 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100056) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.722 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10100042) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.722 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100058
CheckRTSPUrls | 2019-07-17 18:46:01.722 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100058) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.723 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100060
CheckRTSPUrls | 2019-07-17 18:46:01.723 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100060) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.724 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100068
CheckRTSPUrls | 2019-07-17 18:46:01.724 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100068) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.725 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100074
CheckRTSPUrls | 2019-07-17 18:46:01.726 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100074) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.726 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100082
CheckRTSPUrls | 2019-07-17 18:46:01.726 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10100078
CheckRTSPUrls | 2019-07-17 18:46:01.726 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100078) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.726 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10100082) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.727 | INFO    |  # Terminated RTSP threads...
CheckRTSPUrls | 2019-07-17 18:46:01.727 | INFO    |  # Starting RTSP threads. 15~. 30 threads...
CheckRTSPUrls | 2019-07-17 18:46:01.728 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10100088
CheckRTSPUrls | 2019-07-17 18:46:01.729 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10100098
CheckRTSPUrls | 2019-07-17 18:46:01.730 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10100100
CheckRTSPUrls | 2019-07-17 18:46:01.730 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10100123
CheckRTSPUrls | 2019-07-17 18:46:01.731 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.135:554/A10101004
CheckRTSPUrls | 2019-07-17 18:46:01.732 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10110017
CheckRTSPUrls | 2019-07-17 18:46:01.733 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10110031
CheckRTSPUrls | 2019-07-17 18:46:01.734 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10110055
CheckRTSPUrls | 2019-07-17 18:46:01.735 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10110057
CheckRTSPUrls | 2019-07-17 18:46:01.736 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10110059
CheckRTSPUrls | 2019-07-17 18:46:01.737 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10110067
CheckRTSPUrls | 2019-07-17 18:46:01.738 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10110072
CheckRTSPUrls | 2019-07-17 18:46:01.738 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10110076
CheckRTSPUrls | 2019-07-17 18:46:01.739 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10110097
CheckRTSPUrls | 2019-07-17 18:46:01.740 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10110124
CheckRTSPUrls | 2019-07-17 18:46:31.779 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10100088
CheckRTSPUrls | 2019-07-17 18:46:31.779 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10100100
CheckRTSPUrls | 2019-07-17 18:46:31.779 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10100088) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.779 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10100100) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.780 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10100098
CheckRTSPUrls | 2019-07-17 18:46:31.780 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10100098) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.780 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10100123
CheckRTSPUrls | 2019-07-17 18:46:31.781 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10100123) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.781 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.135:554/A10101004
CheckRTSPUrls | 2019-07-17 18:46:31.781 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.135:554/A10101004) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.782 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.130:554/A10110017
CheckRTSPUrls | 2019-07-17 18:46:31.782 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.130:554/A10110017) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.783 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10110031
CheckRTSPUrls | 2019-07-17 18:46:31.783 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.131:554/A10110055
CheckRTSPUrls | 2019-07-17 18:46:31.784 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10110031) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.784 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.131:554/A10110055) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.784 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10110057
CheckRTSPUrls | 2019-07-17 18:46:31.784 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10110057) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.785 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10110059
CheckRTSPUrls | 2019-07-17 18:46:31.785 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10110059) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.785 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10110072
CheckRTSPUrls | 2019-07-17 18:46:31.786 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10110072) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.786 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10110067
CheckRTSPUrls | 2019-07-17 18:46:31.786 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10110067) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.787 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.132:554/A10110076
CheckRTSPUrls | 2019-07-17 18:46:31.787 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.132:554/A10110076) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.787 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10110097
CheckRTSPUrls | 2019-07-17 18:46:31.787 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10110097) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.788 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.133:554/A10110124
CheckRTSPUrls | 2019-07-17 18:46:31.788 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.133:554/A10110124) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:31.789 | INFO    |  # Terminated RTSP threads...
CheckRTSPUrls | 2019-07-17 18:46:31.789 | INFO    |  # Starting RTSP threads. 30~. 36 threads...
CheckRTSPUrls | 2019-07-17 18:46:31.791 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.135:554/A10111005
CheckRTSPUrls | 2019-07-17 18:46:31.791 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10120023
CheckRTSPUrls | 2019-07-17 18:46:31.792 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10120061
CheckRTSPUrls | 2019-07-17 18:46:31.793 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10120065
CheckRTSPUrls | 2019-07-17 18:46:31.793 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.133:554/A10120095
CheckRTSPUrls | 2019-07-17 18:46:31.794 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.135:554/A10201003
